"id","height","weight","age","birthday","longitude","latitude","wkt","location","address"
30000,167,72,50,"1966/01/26",129.690316,32.036986,"POINT (129.690316 32.036986)","Hsinchu","Hsinchu, T'ai-wan"
30001,170,61,20,"1996/09/02",126.326037,25.478276,"POINT (126.326037 25.478276)","Taipei","Taipei, T'ai-wan"
30002,165,95,28,"1988/06/27",126.328413,25.478115,"POINT (126.328413 25.478115)","Taipei","Taipei, T'ai-wan"
30003,167,93,33,"1983/03/10",126.322373,25.478044,"POINT (126.322373 25.478044)","Taipei","Taipei, T'ai-wan"
30004,181,56,25,"1991/11/11",125.674893,25.143804,"POINT (125.674893 25.143804)","Banqiao","Banqiao, T'ai-pei"
30005,168,71,26,"1990/10/28",135.789443,42.683501,"POINT (135.789443 42.683501)","Seoul","Seoul, Seoul"
30006,179,85,39,"1977/11/13",126.324614,25.478379,"POINT (126.324614 25.478379)","Taipei","Taipei, T'ai-wan"
30007,183,64,29,"1987/02/20",127.174164,26.547527,"POINT (127.174164 26.547527)","Fengyuan","Fengyuan, T'ai-wan"
30008,161,49,20,"1996/11/19",126.322895,25.478813,"POINT (126.322895 25.478813)","Taipei","Taipei, T'ai-wan"
30009,168,89,44,"1972/04/10",126.320968,25.478476,"POINT (126.320968 25.478476)","Taipei","Taipei, T'ai-wan"
30010,171,72,30,"1986/01/26",126.320713,25.478724,"POINT (126.320713 25.478724)","Taipei","Taipei, T'ai-wan"
30011,182,82,47,"1969/05/26",126.324542,25.478237,"POINT (126.324542 25.478237)","Taipei","Taipei, T'ai-wan"
30013,164,79,27,"1989/12/12",123.970463,33.937613,"POINT (123.970463 33.937613)","Taoyuan City","Taoyuan City, T'ai-wan"
30014,162,46,36,"1980/08/28",126.321158,25.478742,"POINT (126.321158 25.478742)","Taipei","Taipei, T'ai-wan"
30015,169,57,50,"1966/04/26",129.69648,32.03696,"POINT (129.696480 32.036960)","Hsinchu","Hsinchu, T'ai-wan"
30017,160,60,44,"1972/06/08",126.321439,25.478804,"POINT (126.321439 25.478804)","Taipei","Taipei, T'ai-wan"
30018,176,95,49,"1967/06/19",127.179264,26.556127,"POINT (127.179264 26.556127)","Fengyuan","Fengyuan, T'ai-wan"
30019,183,89,44,"1972/03/01",125.634035,24.733222,"POINT (125.634035 24.733222)","Chang-hua","Chang-hua, T'ai-wan"
30020,178,61,39,"1977/09/26",126.32068,25.478497,"POINT (126.320680 25.478497)","Taipei","Taipei, T'ai-wan"
30022,157,47,28,"1988/01/23",125.678102,25.143186,"POINT (125.678102 25.143186)","Banqiao","Banqiao, T'ai-pei"
30023,163,63,30,"1986/09/08",126.843499,25.469321,"POINT (126.843499 25.469321)","Taichung","Taichung, T'ai-wan"
30024,157,70,27,"1989/05/22",126.326029,25.47819,"POINT (126.326029 25.478190)","Taipei","Taipei, T'ai-wan"
30025,183,70,49,"1967/11/10",126.323915,25.478279,"POINT (126.323915 25.478279)","Taipei","Taipei, T'ai-wan"
30026,163,54,35,"1981/01/18",126.846026,25.469756,"POINT (126.846026 25.469756)","Taichung","Taichung, T'ai-wan"
30027,172,81,45,"1971/12/26",128.429081,26.283199,"POINT (128.429081 26.283199)","Keelung","Keelung, T'ai-wan"
30028,154,74,37,"1979/02/05",123.113835,26.069337,"POINT (123.113835 26.069337)","Xinying","Xinying, T'ai-wan"
30029,158,53,23,"1993/11/01",126.321258,25.478039,"POINT (126.321258 25.478039)","Taipei","Taipei, T'ai-wan"
30030,175,75,21,"1995/05/07",125.635923,24.733232,"POINT (125.635923 24.733232)","Chang-hua","Chang-hua, T'ai-wan"
30031,175,76,32,"1984/01/21",127.172258,26.599775,"POINT (127.172258 26.599775)","Fengyuan","Fengyuan, T'ai-wan"
30032,163,56,48,"1968/02/24",123.970382,33.937646,"POINT (123.970382 33.937646)","Taoyuan City","Taoyuan City, T'ai-wan"
30033,172,64,33,"1983/07/14",126.841085,25.46955,"POINT (126.841085 25.469550)","Taichung","Taichung, T'ai-wan"
30034,169,75,43,"1973/09/11",125.676889,25.143804,"POINT (125.676889 25.143804)","Banqiao","Banqiao, T'ai-pei"
30035,185,72,26,"1990/05/14",127.176757,26.557944,"POINT (127.176757 26.557944)","Fengyuan","Fengyuan, T'ai-wan"
30036,174,63,34,"1982/07/23",125.439195,30.094623,"POINT (125.439195 30.094623)","Douliu","Douliu, T'ai-wan"
30037,168,77,45,"1971/12/03",123.971674,33.937762,"POINT (123.971674 33.937762)","Taoyuan City","Taoyuan City, T'ai-wan"
30038,159,47,37,"1979/10/26",126.320146,25.478579,"POINT (126.320146 25.478579)","Taipei","Taipei, T'ai-wan"
30039,182,61,34,"1982/11/19",126.328966,25.478157,"POINT (126.328966 25.478157)","Taipei","Taipei, T'ai-wan"
30041,159,47,19,"1997/09/21",124.883093,28.714931,"POINT (124.883093 28.714931)","Pingtung","Pingtung, T'ai-wan"
30042,182,93,31,"1985/06/15",126.328816,25.47829,"POINT (126.328816 25.478290)","Taipei","Taipei, T'ai-wan"
30043,166,99,36,"1980/11/10",126.841077,25.469638,"POINT (126.841077 25.469638)","Taichung","Taichung, T'ai-wan"
30044,155,57,34,"1982/04/07",126.848867,25.469137,"POINT (126.848867 25.469137)","Taichung","Taichung, T'ai-wan"
30045,156,63,27,"1989/10/21",127.537111,30.464617,"POINT (127.537111 30.464617)","Lugu","Lugu, T'ai-wan"
30046,160,59,50,"1966/03/27",123.972362,33.937817,"POINT (123.972362 33.937817)","Taoyuan City","Taoyuan City, T'ai-wan"
30047,164,80,34,"1982/03/10",126.328596,25.478151,"POINT (126.328596 25.478151)","Taipei","Taipei, T'ai-wan"
30048,168,52,34,"1982/12/21",129.692871,32.036007,"POINT (129.692871 32.036007)","Hsinchu","Hsinchu, T'ai-wan"
30049,181,82,28,"1988/12/01",125.6753,25.143191,"POINT (125.675300 25.143191)","Banqiao","Banqiao, T'ai-pei"
30050,176,91,40,"1976/06/02",125.671901,25.143337,"POINT (125.671901 25.143337)","Banqiao","Banqiao, T'ai-pei"
30051,183,100,50,"1966/03/04",125.677073,25.143052,"POINT (125.677073 25.143052)","Banqiao","Banqiao, T'ai-pei"
30052,163,71,37,"1979/02/03",129.696414,32.036467,"POINT (129.696414 32.036467)","Hsinchu","Hsinchu, T'ai-wan"
30053,173,65,19,"1997/09/08",126.321412,25.478395,"POINT (126.321412 25.478395)","Taipei","Taipei, T'ai-wan"
30054,157,78,26,"1990/05/16",123.618053,28.266191,"POINT (123.618053 28.266191)","Fengshan","Fengshan, T'ai-wan"
30055,174,96,32,"1984/11/06",126.841424,25.469752,"POINT (126.841424 25.469752)","Taichung","Taichung, T'ai-wan"
30056,176,87,37,"1979/11/26",127.174787,26.554711,"POINT (127.174787 26.554711)","Fengyuan","Fengyuan, T'ai-wan"
30057,168,87,44,"1972/10/28",126.324615,25.478032,"POINT (126.324615 25.478032)","Taipei","Taipei, T'ai-wan"
30058,163,66,28,"1988/05/14",121.183129,28.367643,"POINT (121.183129 28.367643)","Jincheng","Jincheng, Fu-chien"
30059,176,52,31,"1985/01/04",126.644498,32.157998,"POINT (126.644498 32.157998)","Nantou","Nantou, T'ai-wan"
30060,160,63,31,"1985/04/04",123.132093,28.163557,"POINT (123.132093 28.163557)","Kaohsiung","Kaohsiung, Kao-hsiung"
30061,179,86,43,"1973/06/05",123.131639,28.163647,"POINT (123.131639 28.163647)","Kaohsiung","Kaohsiung, Kao-hsiung"
30062,173,76,39,"1977/08/10",126.325928,25.478228,"POINT (126.325928 25.478228)","Taipei","Taipei, T'ai-wan"
30064,184,60,34,"1982/01/10",123.925895,32.837459,"POINT (123.925895 32.837459)","Daxi","Daxi, T'ai-wan"
30065,177,56,47,"1969/10/05",125.630041,24.733558,"POINT (125.630041 24.733558)","Chang-hua","Chang-hua, T'ai-wan"
30067,183,62,43,"1973/12/26",123.976413,33.937507,"POINT (123.976413 33.937507)","Taoyuan City","Taoyuan City, T'ai-wan"
30068,163,59,18,"1998/06/18",126.845065,25.469267,"POINT (126.845065 25.469267)","Taichung","Taichung, T'ai-wan"
30069,184,91,41,"1975/06/14",128.242326,29.643145,"POINT (128.242326 29.643145)","Miaoli","Miaoli, T'ai-wan"
30070,177,80,25,"1991/11/22",126.329357,25.478917,"POINT (126.329357 25.478917)","Taipei","Taipei, T'ai-wan"
30071,174,58,34,"1982/10/21",123.978459,33.937726,"POINT (123.978459 33.937726)","Taoyuan City","Taoyuan City, T'ai-wan"
30072,179,89,46,"1970/06/03",129.697065,32.036773,"POINT (129.697065 32.036773)","Hsinchu","Hsinchu, T'ai-wan"
30073,176,76,43,"1973/12/06",128.423496,26.283199,"POINT (128.423496 26.283199)","Keelung","Keelung, T'ai-wan"
30074,169,68,32,"1984/04/03",125.437822,30.094705,"POINT (125.437822 30.094705)","Douliu","Douliu, T'ai-wan"
30075,165,67,44,"1972/03/22",126.32223,25.478786,"POINT (126.322230 25.478786)","Taipei","Taipei, T'ai-wan"
30076,185,71,47,"1969/04/13",126.321907,25.478145,"POINT (126.321907 25.478145)","Taipei","Taipei, T'ai-wan"
30077,171,78,27,"1989/04/01",122.455112,29.599384,"POINT (122.455112 29.599384)","Taitung","Taitung, T'ai-wan"
30078,165,81,23,"1993/05/18",122.131182,31.908481,"POINT (122.131182 31.908481)","Tainan","Tainan, T'ai-wan"
30079,169,61,45,"1971/02/17",125.430469,30.094775,"POINT (125.430469 30.094775)","Douliu","Douliu, T'ai-wan"
30080,155,79,42,"1974/10/25",129.69392,32.036087,"POINT (129.693920 32.036087)","Hsinchu","Hsinchu, T'ai-wan"
30081,172,90,38,"1978/03/16",128.531338,31.572934,"POINT (128.531338 31.572934)","Yilan","Yilan, T'ai-wan"
30083,160,61,47,"1969/04/25",126.324384,25.478809,"POINT (126.324384 25.478809)","Taipei","Taipei, T'ai-wan"
30084,163,85,19,"1997/06/08",122.13038,31.908281,"POINT (122.130380 31.908281)","Tainan","Tainan, T'ai-wan"
30085,159,80,31,"1985/05/28",123.978692,33.937637,"POINT (123.978692 33.937637)","Taoyuan City","Taoyuan City, T'ai-wan"
30086,181,79,49,"1967/05/23",123.974228,33.937651,"POINT (123.974228 33.937651)","Taoyuan City","Taoyuan City, T'ai-wan"
30087,171,67,43,"1973/07/25",126.845366,25.469479,"POINT (126.845366 25.469479)","Taichung","Taichung, T'ai-wan"
30088,172,86,26,"1990/09/20",123.972864,33.937421,"POINT (123.972864 33.937421)","Taoyuan City","Taoyuan City, T'ai-wan"
30089,174,45,26,"1990/01/18",126.84023,25.469774,"POINT (126.840230 25.469774)","Taichung","Taichung, T'ai-wan"
30090,160,47,46,"1970/06/21",126.327853,25.478934,"POINT (126.327853 25.478934)","Taipei","Taipei, T'ai-wan"
30091,164,61,24,"1992/06/09",-86.701368,45.131084,"POINT (-86.701368 45.131084)","Maryland Heights","Maryland Heights, Missouri"
30092,174,53,36,"1980/02/03",128.53859,31.574754,"POINT (128.538590 31.574754)","Yilan","Yilan, T'ai-wan"
30093,185,92,35,"1981/06/26",125.671571,25.143674,"POINT (125.671571 25.143674)","Banqiao","Banqiao, T'ai-pei"
30094,166,90,29,"1987/02/02",126.328216,25.478853,"POINT (126.328216 25.478853)","Taipei","Taipei, T'ai-wan"
30095,183,79,34,"1982/03/08",123.971009,33.937535,"POINT (123.971009 33.937535)","Taoyuan City","Taoyuan City, T'ai-wan"
30096,176,79,32,"1984/10/28",126.328877,25.478276,"POINT (126.328877 25.478276)","Taipei","Taipei, T'ai-wan"
30097,169,64,40,"1976/07/17",126.32827,25.478209,"POINT (126.328270 25.478209)","Taipei","Taipei, T'ai-wan"
30098,163,77,21,"1995/06/20",124.883641,28.714224,"POINT (124.883641 28.714224)","Pingtung","Pingtung, T'ai-wan"
30099,164,81,49,"1967/12/10",125.675176,25.143218,"POINT (125.675176 25.143218)","Banqiao","Banqiao, T'ai-pei"
30100,178,79,31,"1985/11/02",126.320113,25.4783,"POINT (126.320113 25.478300)","Taipei","Taipei, T'ai-wan"
30101,160,60,22,"1994/08/11",12.337506,60.945145,"POINT (12.337506 60.945145)","Wildeshausen","Wildeshausen, Niedersachsen"
30103,179,89,41,"1975/10/06",123.61814,28.266736,"POINT (123.618140 28.266736)","Fengshan","Fengshan, T'ai-wan"
30104,171,79,42,"1974/06/27",126.326827,25.478743,"POINT (126.326827 25.478743)","Taipei","Taipei, T'ai-wan"
30105,176,80,22,"1994/04/07",126.323684,25.478015,"POINT (126.323684 25.478015)","Taipei","Taipei, T'ai-wan"
30107,168,98,33,"1983/02/21",125.670953,25.143329,"POINT (125.670953 25.143329)","Banqiao","Banqiao, T'ai-pei"
30108,154,59,32,"1984/04/12",123.971138,33.937976,"POINT (123.971138 33.937976)","Taoyuan City","Taoyuan City, T'ai-wan"
30109,150,49,39,"1977/01/01",122.131791,31.908287,"POINT (122.131791 31.908287)","Tainan","Tainan, T'ai-wan"
30110,185,95,38,"1978/08/09",126.326114,25.478718,"POINT (126.326114 25.478718)","Taipei","Taipei, T'ai-wan"
