id,height,weight,age,birthday,longitude,latitude,wkt,location,address
30000,161,99,27,1989/10/12,120.907310,24.867192,POINT (120.907310 24.867192),Hsinchu,"Hsinchu, T'ai-wan"
30001,171,47,18,1998/03/10,121.525671,25.023524,POINT (121.525671 25.023524),Taipei,"Taipei, T'ai-wan"
30002,180,61,39,1977/01/08,121.548807,25.060967,POINT (121.548807 25.060967),Taipei,"Taipei, T'ai-wan"
30003,183,100,24,1992/06/26,121.531688,25.072541,POINT (121.531688 25.072541),Taipei,"Taipei, T'ai-wan"
30004,168,56,37,1979/11/17,121.437054,25.067301,POINT (121.437054 25.067301),Banqiao,"Banqiao, T'ai-pei"
30005,170,63,50,1966/01/21,126.902055,37.531045,POINT (126.902055 37.531045),Seoul,"Seoul, Seoul"
30006,185,80,46,1970/04/11,121.526463,25.065975,POINT (121.526463 25.065975),Taipei,"Taipei, T'ai-wan"
30007,160,78,30,1986/04/18,120.761504,24.267967,POINT (120.761504 24.267967),Fengyuan,"Fengyuan, T'ai-wan"
30008,163,62,44,1972/10/18,121.543244,25.076028,POINT (121.543244 25.076028),Taipei,"Taipei, T'ai-wan"
30009,172,77,46,1970/01/21,121.541706,25.095785,POINT (121.541706 25.095785),Taipei,"Taipei, T'ai-wan"
30010,170,80,24,1992/05/08,121.546623,25.023626,POINT (121.546623 25.023626),Taipei,"Taipei, T'ai-wan"
30011,163,89,31,1985/04/06,121.577302,25.034346,POINT (121.577302 25.034346),Taipei,"Taipei, T'ai-wan"
30013,184,67,39,1977/09/07,121.228469,24.988243,POINT (121.228469 24.988243),Taoyuan City,"Taoyuan City, T'ai-wan"
30014,174,70,40,1976/08/05,121.592813,25.082077,POINT (121.592813 25.082077),Taipei,"Taipei, T'ai-wan"
30015,163,51,21,1995/02/03,120.915422,24.840807,POINT (120.915422 24.840807),Hsinchu,"Hsinchu, T'ai-wan"
30017,185,99,20,1996/07/23,121.565454,25.029841,POINT (121.565454 25.029841),Taipei,"Taipei, T'ai-wan"
30018,182,86,37,1979/06/13,120.761899,24.224751,POINT (120.761899 24.224751),Fengyuan,"Fengyuan, T'ai-wan"
30019,181,100,32,1984/09/14,120.553103,24.006618,POINT (120.553103 24.006618),Chang-hua,"Chang-hua, T'ai-wan"
30020,165,78,26,1990/11/07,121.545839,25.080710,POINT (121.545839 25.080710),Taipei,"Taipei, T'ai-wan"
30022,162,67,27,1989/01/21,121.469090,25.049432,POINT (121.469090 25.049432),Banqiao,"Banqiao, T'ai-pei"
30023,168,55,39,1977/03/19,120.679677,24.127072,POINT (120.679677 24.127072),Taichung,"Taichung, T'ai-wan"
30024,174,78,33,1983/02/22,121.554739,25.039663,POINT (121.554739 25.039663),Taipei,"Taipei, T'ai-wan"
30025,163,97,32,1984/01/03,121.524465,25.090738,POINT (121.524465 25.090738),Taipei,"Taipei, T'ai-wan"
30026,157,80,41,1975/03/19,120.694157,24.199823,POINT (120.694157 24.199823),Taichung,"Taichung, T'ai-wan"
30027,180,80,50,1966/02/06,121.768494,25.154200,POINT (121.768494 25.154200),Keelung,"Keelung, T'ai-wan"
30028,175,46,50,1966/12/28,120.310151,23.358865,POINT (120.310151 23.358865),Xinying,"Xinying, T'ai-wan"
30029,150,79,24,1992/04/21,121.596236,25.072834,POINT (121.596236 25.072834),Taipei,"Taipei, T'ai-wan"
30030,164,97,22,1994/12/26,120.541901,24.023642,POINT (120.541901 24.023642),Chang-hua,"Chang-hua, T'ai-wan"
30031,157,74,20,1996/09/17,120.764336,24.222828,POINT (120.764336 24.222828),Fengyuan,"Fengyuan, T'ai-wan"
30032,174,64,38,1978/08/08,121.214293,24.931825,POINT (121.214293 24.931825),Taoyuan City,"Taoyuan City, T'ai-wan"
30033,167,92,29,1987/08/02,120.606646,24.116580,POINT (120.606646 24.116580),Taichung,"Taichung, T'ai-wan"
30034,179,69,45,1971/12/03,121.459212,25.096526,POINT (121.459212 25.096526),Banqiao,"Banqiao, T'ai-pei"
30035,183,80,40,1976/01/23,120.791576,24.269447,POINT (120.791576 24.269447),Fengyuan,"Fengyuan, T'ai-wan"
30036,175,67,36,1980/08/07,120.515687,23.778337,POINT (120.515687 23.778337),Douliu,"Douliu, T'ai-wan"
30037,164,72,39,1977/09/11,121.276740,24.986699,POINT (121.276740 24.986699),Taoyuan City,"Taoyuan City, T'ai-wan"
30038,165,47,38,1978/09/14,121.518492,25.004891,POINT (121.518492 25.004891),Taipei,"Taipei, T'ai-wan"
30039,177,64,47,1969/09/12,121.512251,25.019108,POINT (121.512251 25.019108),Taipei,"Taipei, T'ai-wan"
30041,165,62,28,1988/01/13,120.487466,22.658252,POINT (120.487466 22.658252),Pingtung,"Pingtung, T'ai-wan"
30042,185,71,29,1987/04/25,121.550251,25.020751,POINT (121.550251 25.020751),Taipei,"Taipei, T'ai-wan"
30043,160,77,49,1967/06/27,120.632240,24.102395,POINT (120.632240 24.102395),Taichung,"Taichung, T'ai-wan"
30044,158,57,49,1967/07/13,120.691378,24.183281,POINT (120.691378 24.183281),Taichung,"Taichung, T'ai-wan"
30045,153,58,47,1969/01/04,120.717728,23.732591,POINT (120.717728 23.732591),Lugu,"Lugu, T'ai-wan"
30046,184,65,38,1978/06/21,121.294951,24.948350,POINT (121.294951 24.948350),Taoyuan City,"Taoyuan City, T'ai-wan"
30047,175,84,49,1967/12/16,121.519241,25.093191,POINT (121.519241 25.093191),Taipei,"Taipei, T'ai-wan"
30048,184,76,38,1978/08/23,120.972750,24.861802,POINT (120.972750 24.861802),Hsinchu,"Hsinchu, T'ai-wan"
30049,167,73,36,1980/01/12,121.467775,25.055731,POINT (121.467775 25.055731),Banqiao,"Banqiao, T'ai-pei"
30050,161,81,26,1990/11/22,121.417160,25.072632,POINT (121.417160 25.072632),Banqiao,"Banqiao, T'ai-pei"
30051,184,71,41,1975/10/26,121.450748,25.083368,POINT (121.450748 25.083368),Banqiao,"Banqiao, T'ai-pei"
30052,160,62,21,1995/01/18,120.913408,24.821940,POINT (120.913408 24.821940),Hsinchu,"Hsinchu, T'ai-wan"
30053,161,51,31,1985/08/27,121.535562,25.049113,POINT (121.535562 25.049113),Taipei,"Taipei, T'ai-wan"
30054,160,56,34,1982/03/12,120.372441,22.681496,POINT (120.372441 22.681496),Fengshan,"Fengshan, T'ai-wan"
30055,185,86,39,1977/08/07,120.667077,24.193831,POINT (120.667077 24.193831),Taichung,"Taichung, T'ai-wan"
30056,178,92,26,1990/04/20,120.778314,24.234716,POINT (120.778314 24.234716),Fengyuan,"Fengyuan, T'ai-wan"
30057,166,89,20,1996/10/20,121.512531,25.050750,POINT (121.512531 25.050750),Taipei,"Taipei, T'ai-wan"
30058,184,56,20,1996/02/24,118.318460,24.408942,POINT (118.318460 24.408942),Jincheng,"Jincheng, Fu-chien"
30059,171,58,38,1978/01/12,120.606960,23.926297,POINT (120.606960 23.926297),Nantou,"Nantou, T'ai-wan"
30060,165,61,28,1988/10/24,120.308614,22.605613,POINT (120.308614 22.605613),Kaohsiung,"Kaohsiung, Kao-hsiung"
30061,160,88,18,1998/05/26,120.302725,22.637775,POINT (120.302725 22.637775),Kaohsiung,"Kaohsiung, Kao-hsiung"
30062,164,91,37,1979/02/20,121.588786,25.088125,POINT (121.588786 25.088125),Taipei,"Taipei, T'ai-wan"
30064,155,60,41,1975/11/28,121.295550,24.838620,POINT (121.295550 24.838620),Daxi,"Daxi, T'ai-wan"
30065,178,64,45,1971/04/03,120.570149,24.028649,POINT (120.570149 24.028649),Chang-hua,"Chang-hua, T'ai-wan"
30067,176,64,46,1970/06/01,121.293894,24.961012,POINT (121.293894 24.961012),Taoyuan City,"Taoyuan City, T'ai-wan"
30068,158,64,37,1979/04/26,120.625729,24.150490,POINT (120.625729 24.150490),Taichung,"Taichung, T'ai-wan"
30069,168,73,38,1978/07/09,120.851828,24.515416,POINT (120.851828 24.515416),Miaoli,"Miaoli, T'ai-wan"
30070,165,67,22,1994/01/13,121.562976,25.068152,POINT (121.562976 25.068152),Taipei,"Taipei, T'ai-wan"
30071,177,60,39,1977/09/22,121.269331,24.934101,POINT (121.269331 24.934101),Taoyuan City,"Taoyuan City, T'ai-wan"
30072,160,92,34,1982/08/11,120.954584,24.813137,POINT (120.954584 24.813137),Hsinchu,"Hsinchu, T'ai-wan"
30073,170,95,49,1967/12/26,121.767833,25.187452,POINT (121.767833 25.187452),Keelung,"Keelung, T'ai-wan"
30074,160,74,22,1994/08/10,120.564631,23.701429,POINT (120.564631 23.701429),Douliu,"Douliu, T'ai-wan"
30075,165,61,37,1979/10/24,121.542867,25.057345,POINT (121.542867 25.057345),Taipei,"Taipei, T'ai-wan"
30076,160,63,46,1970/10/23,121.568062,25.003813,POINT (121.568062 25.003813),Taipei,"Taipei, T'ai-wan"
30077,180,47,41,1975/01/02,121.105586,22.776400,POINT (121.105586 22.776400),Taitung,"Taitung, T'ai-wan"
30078,168,97,37,1979/12/24,120.231727,22.942921,POINT (120.231727 22.942921),Tainan,"Tainan, T'ai-wan"
30079,176,82,29,1987/03/14,120.584821,23.795092,POINT (120.584821 23.795092),Douliu,"Douliu, T'ai-wan"
30080,162,66,50,1966/12/23,120.914889,24.875992,POINT (120.914889 24.875992),Hsinchu,"Hsinchu, T'ai-wan"
30081,171,74,48,1968/07/03,121.753446,24.714284,POINT (121.753446 24.714284),Yilan,"Yilan, T'ai-wan"
30083,184,61,33,1983/11/15,121.524758,25.063608,POINT (121.524758 25.063608),Taipei,"Taipei, T'ai-wan"
30084,160,77,37,1979/02/09,120.222610,22.926254,POINT (120.222610 22.926254),Tainan,"Tainan, T'ai-wan"
30085,178,72,27,1989/08/19,121.231186,24.925313,POINT (121.231186 24.925313),Taoyuan City,"Taoyuan City, T'ai-wan"
30086,153,70,19,1997/11/06,121.288456,24.962506,POINT (121.288456 24.962506),Taoyuan City,"Taoyuan City, T'ai-wan"
30087,176,87,23,1993/02/01,120.605548,24.111799,POINT (120.605548 24.111799),Taichung,"Taichung, T'ai-wan"
30088,168,78,30,1986/08/13,121.282264,24.920270,POINT (121.282264 24.920270),Taoyuan City,"Taoyuan City, T'ai-wan"
30089,164,47,26,1990/07/02,120.628052,24.115531,POINT (120.628052 24.115531),Taichung,"Taichung, T'ai-wan"
30090,179,62,30,1986/02/22,121.530761,25.041829,POINT (121.530761 25.041829),Taipei,"Taipei, T'ai-wan"
30091,152,46,30,1986/02/14,-90.564221,38.776422,POINT (-90.564221 38.776422),Maryland Heights,"Maryland Heights, Missouri"
30092,175,71,38,1978/06/10,121.799521,24.745032,POINT (121.799521 24.745032),Yilan,"Yilan, T'ai-wan"
30093,185,67,44,1972/08/01,121.423714,25.014601,POINT (121.423714 25.014601),Banqiao,"Banqiao, T'ai-pei"
30094,185,66,41,1975/09/04,121.536964,25.046199,POINT (121.536964 25.046199),Taipei,"Taipei, T'ai-wan"
30095,176,74,34,1982/05/26,121.226572,24.922729,POINT (121.226572 24.922729),Taoyuan City,"Taoyuan City, T'ai-wan"
30096,173,62,20,1996/11/28,121.572942,25.099989,POINT (121.572942 25.099989),Taipei,"Taipei, T'ai-wan"
30097,163,66,36,1980/02/25,121.548126,25.027818,POINT (121.548126 25.027818),Taipei,"Taipei, T'ai-wan"
30098,169,71,32,1984/06/18,120.421372,22.629451,POINT (120.421372 22.629451),Pingtung,"Pingtung, T'ai-wan"
30099,178,72,46,1970/08/12,121.467518,25.097458,POINT (121.467518 25.097458),Banqiao,"Banqiao, T'ai-pei"
30100,164,71,23,1993/11/22,121.560911,25.012855,POINT (121.560911 25.012855),Taipei,"Taipei, T'ai-wan"
30101,172,47,46,1970/07/15,8.496103,52.821519,POINT (8.496103 52.821519),Wildeshausen,"Wildeshausen, Niedersachsen"
30103,180,94,18,1998/10/07,120.388360,22.696658,POINT (120.388360 22.696658),Fengshan,"Fengshan, T'ai-wan"
30104,182,77,23,1993/01/26,121.523212,25.099246,POINT (121.523212 25.099246),Taipei,"Taipei, T'ai-wan"
30105,170,90,21,1995/12/15,121.574907,25.006899,POINT (121.574907 25.006899),Taipei,"Taipei, T'ai-wan"
30107,168,99,33,1983/03/06,121.497974,25.003426,POINT (121.497974 25.003426),Banqiao,"Banqiao, T'ai-pei"
30108,164,45,43,1973/06/27,121.238775,24.918577,POINT (121.238775 24.918577),Taoyuan City,"Taoyuan City, T'ai-wan"
30109,164,61,25,1991/02/04,120.295515,22.947465,POINT (120.295515 22.947465),Tainan,"Tainan, T'ai-wan"
30110,182,74,29,1987/08/14,121.531784,25.054682,POINT (121.531784 25.054682),Taipei,"Taipei, T'ai-wan"
30111,184,58,50,1966/09/14,121.536781,25.055922,POINT (121.536781 25.055922),Taipei,"Taipei, T'ai-wan"
30112,177,87,30,1986/10/01,120.364896,22.638646,POINT (120.364896 22.638646),Kaohsiung,"Kaohsiung, Kao-hsiung"
30113,171,68,37,1979/05/17,121.575812,25.020358,POINT (121.575812 25.020358),Taipei,"Taipei, T'ai-wan"
30114,152,61,49,1967/01/25,121.251164,24.803935,POINT (121.251164 24.803935),Daxi,"Daxi, T'ai-wan"
30115,169,99,37,1979/09/14,121.425348,25.060404,POINT (121.425348 25.060404),Banqiao,"Banqiao, T'ai-pei"
30116,184,67,42,1974/10/07,121.799312,24.799462,POINT (121.799312 24.799462),Yilan,"Yilan, T'ai-wan"
30117,174,91,50,1966/12/09,121.242862,24.944153,POINT (121.242862 24.944153),Taoyuan City,"Taoyuan City, T'ai-wan"
30118,183,69,18,1998/04/26,121.402654,25.016790,POINT (121.402654 25.016790),Banqiao,"Banqiao, T'ai-pei"
30119,174,62,47,1969/05/17,121.571613,25.030384,POINT (121.571613 25.030384),Taipei,"Taipei, T'ai-wan"
